bank,customer_id,TrueEntityID,entity_type,in_both_banks,records_for_entity
Harbourside Bank,HB-10513,TRUE-0107,Individual,N,1
Harbourside Bank,HB-10522,TRUE-0108,Individual,N,1
Harbourside Bank,HB-10531,TRUE-0109,Individual,N,1
Harbourside Bank,HB-10539,TRUE-0110,Individual,N,1
Harbourside Bank,HB-10543,TRUE-0111,Individual,N,1
Harbourside Bank,HB-10550,TRUE-0112,Individual,N,1
Harbourside Bank,HB-10555,TRUE-0113,Individual,N,1
Harbourside Bank,HB-10563,TRUE-0114,Individual,N,1
Harbourside Bank,HB-10566,TRUE-0115,Individual,N,1
Harbourside Bank,HB-10569,TRUE-0116,Individual,N,2
Harbourside Bank,HB-11354,TRUE-0116,Individual,N,2
Harbourside Bank,HB-10575,TRUE-0117,Individual,N,1
Harbourside Bank,HB-10584,TRUE-0118,Individual,N,1
Harbourside Bank,HB-10585,TRUE-0119,Individual,N,1
Harbourside Bank,HB-10589,TRUE-0120,Individual,N,1
Harbourside Bank,HB-10598,TRUE-0121,Individual,N,1
Harbourside Bank,HB-10606,TRUE-0122,Individual,N,1
Harbourside Bank,HB-10610,TRUE-0123,Individual,N,1
Harbourside Bank,HB-10612,TRUE-0124,Individual,N,1
Harbourside Bank,HB-10619,TRUE-0125,Individual,N,1
Harbourside Bank,HB-10623,TRUE-0126,Individual,N,1
Harbourside Bank,HB-10626,TRUE-0127,Individual,N,1
Harbourside Bank,HB-10628,TRUE-0128,Individual,N,1
Harbourside Bank,HB-10632,TRUE-0129,Individual,N,1
Harbourside Bank,HB-10633,TRUE-0130,Individual,N,1
Harbourside Bank,HB-10636,TRUE-0131,Individual,Y,2
Totara Mutual,00400002,TRUE-0131,Individual,Y,2
Harbourside Bank,HB-10637,TRUE-0132,Individual,Y,3
Harbourside Bank,HB-11370,TRUE-0132,Individual,Y,3
Totara Mutual,00400031,TRUE-0132,Individual,Y,3
Harbourside Bank,HB-10640,TRUE-0133,Individual,Y,2
Totara Mutual,00400040,TRUE-0133,Individual,Y,2
Harbourside Bank,HB-10645,TRUE-0134,Individual,Y,2
Totara Mutual,00400061,TRUE-0134,Individual,Y,2
Harbourside Bank,HB-10651,TRUE-0135,Individual,Y,2
Totara Mutual,00400081,TRUE-0135,Individual,Y,2
Harbourside Bank,HB-10657,TRUE-0136,Individual,Y,2
Totara Mutual,00400110,TRUE-0136,Individual,Y,2
Harbourside Bank,HB-10662,TRUE-0137,Individual,Y,2
Totara Mutual,00400120,TRUE-0137,Individual,Y,2
Harbourside Bank,HB-10671,TRUE-0138,Individual,Y,2
Totara Mutual,00400138,TRUE-0138,Individual,Y,2
Harbourside Bank,HB-10674,TRUE-0139,Individual,Y,2
Totara Mutual,00400155,TRUE-0139,Individual,Y,2
Harbourside Bank,HB-10678,TRUE-0140,Individual,Y,2
Totara Mutual,00400160,TRUE-0140,Individual,Y,2
Harbourside Bank,HB-10680,TRUE-0141,Individual,Y,2
Totara Mutual,00400176,TRUE-0141,Individual,Y,2
Harbourside Bank,HB-10683,TRUE-0142,Individual,Y,2
Totara Mutual,00400187,TRUE-0142,Individual,Y,2
Harbourside Bank,HB-10691,TRUE-0143,Individual,Y,2
Totara Mutual,00400212,TRUE-0143,Individual,Y,2
Harbourside Bank,HB-10696,TRUE-0144,Individual,Y,2
Totara Mutual,00400231,TRUE-0144,Individual,Y,2
Harbourside Bank,HB-10703,TRUE-0145,Individual,Y,2
Totara Mutual,00400252,TRUE-0145,Individual,Y,2
Harbourside Bank,HB-10710,TRUE-0146,Individual,Y,2
Totara Mutual,00400272,TRUE-0146,Individual,Y,2
Harbourside Bank,HB-10715,TRUE-0147,Individual,Y,2
Totara Mutual,00400280,TRUE-0147,Individual,Y,2
Harbourside Bank,HB-10719,TRUE-0148,Individual,Y,2
Totara Mutual,00400288,TRUE-0148,Individual,Y,2
Harbourside Bank,HB-10724,TRUE-0149,Individual,Y,2
Totara Mutual,00400311,TRUE-0149,Individual,Y,2
Harbourside Bank,HB-10727,TRUE-0150,Individual,Y,2
Totara Mutual,00400336,TRUE-0150,Individual,Y,2
Harbourside Bank,HB-10728,TRUE-0151,Individual,Y,2
Totara Mutual,00400348,TRUE-0151,Individual,Y,2
Harbourside Bank,HB-10734,TRUE-0152,Individual,Y,2
Totara Mutual,00400358,TRUE-0152,Individual,Y,2
Harbourside Bank,HB-10735,TRUE-0153,Individual,Y,2
Totara Mutual,00400368,TRUE-0153,Individual,Y,2
Harbourside Bank,HB-10740,TRUE-0154,Individual,Y,2
Totara Mutual,00400384,TRUE-0154,Individual,Y,2
Harbourside Bank,HB-10746,TRUE-0155,Individual,Y,2
Totara Mutual,00400409,TRUE-0155,Individual,Y,2
Harbourside Bank,HB-10755,TRUE-0156,Individual,Y,3
Harbourside Bank,HB-11363,TRUE-0156,Individual,Y,3
Totara Mutual,00400416,TRUE-0156,Individual,Y,3
Harbourside Bank,HB-10760,TRUE-0157,Individual,Y,2
Totara Mutual,00400446,TRUE-0157,Individual,Y,2
Harbourside Bank,HB-10766,TRUE-0158,Individual,Y,2
Totara Mutual,00400462,TRUE-0158,Individual,Y,2
Harbourside Bank,HB-10769,TRUE-0159,Individual,Y,2
Totara Mutual,00400470,TRUE-0159,Individual,Y,2
Harbourside Bank,HB-10774,TRUE-0160,Individual,Y,2
Totara Mutual,00400489,TRUE-0160,Individual,Y,2
Harbourside Bank,HB-10775,TRUE-0161,Individual,Y,2
Totara Mutual,00400505,TRUE-0161,Individual,Y,2
Harbourside Bank,HB-10780,TRUE-0162,Individual,Y,2
Totara Mutual,00400518,TRUE-0162,Individual,Y,2
Harbourside Bank,HB-10786,TRUE-0163,Individual,Y,2
Totara Mutual,00400523,TRUE-0163,Individual,Y,2
Harbourside Bank,HB-10790,TRUE-0164,Individual,Y,2
Totara Mutual,00400545,TRUE-0164,Individual,Y,2
Harbourside Bank,HB-10796,TRUE-0165,Individual,Y,2
Totara Mutual,00400558,TRUE-0165,Individual,Y,2
Harbourside Bank,HB-10800,TRUE-0166,Individual,Y,2
Totara Mutual,00400561,TRUE-0166,Individual,Y,2
Harbourside Bank,HB-10804,TRUE-0167,Individual,Y,2
Totara Mutual,00400587,TRUE-0167,Individual,Y,2
Harbourside Bank,HB-10808,TRUE-0168,Individual,Y,2
Totara Mutual,00400590,TRUE-0168,Individual,Y,2
Harbourside Bank,HB-10813,TRUE-0169,Individual,Y,2
Totara Mutual,00400609,TRUE-0169,Individual,Y,2
Harbourside Bank,HB-10814,TRUE-0170,Individual,Y,2
Totara Mutual,00400631,TRUE-0170,Individual,Y,2
Harbourside Bank,HB-10823,TRUE-0171,Individual,Y,2
Totara Mutual,00400642,TRUE-0171,Individual,Y,2
Harbourside Bank,HB-10829,TRUE-0172,Individual,Y,2
Totara Mutual,00400645,TRUE-0172,Individual,Y,2
Harbourside Bank,HB-10833,TRUE-0173,Individual,Y,2
Totara Mutual,00400664,TRUE-0173,Individual,Y,2
Harbourside Bank,HB-10841,TRUE-0174,Individual,Y,2
Totara Mutual,00400665,TRUE-0174,Individual,Y,2
Harbourside Bank,HB-10843,TRUE-0175,Individual,Y,2
Totara Mutual,00400673,TRUE-0175,Individual,Y,2
Harbourside Bank,HB-10845,TRUE-0176,Individual,Y,2
Totara Mutual,00400697,TRUE-0176,Individual,Y,2
Harbourside Bank,HB-10854,TRUE-0177,Individual,Y,2
Totara Mutual,00400713,TRUE-0177,Individual,Y,2
Harbourside Bank,HB-10856,TRUE-0178,Individual,Y,2
Totara Mutual,00400735,TRUE-0178,Individual,Y,2
Harbourside Bank,HB-10862,TRUE-0179,Individual,Y,2
Totara Mutual,00400755,TRUE-0179,Individual,Y,2
Harbourside Bank,HB-10865,TRUE-0180,Individual,Y,2
Totara Mutual,00400767,TRUE-0180,Individual,Y,2
Harbourside Bank,HB-10871,TRUE-0181,Individual,Y,2
Totara Mutual,00400788,TRUE-0181,Individual,Y,2
Harbourside Bank,HB-10876,TRUE-0182,Individual,Y,2
Totara Mutual,00400789,TRUE-0182,Individual,Y,2
Harbourside Bank,HB-10879,TRUE-0183,Individual,Y,2
Totara Mutual,00400803,TRUE-0183,Individual,Y,2
Harbourside Bank,HB-10888,TRUE-0184,Individual,Y,2
Totara Mutual,00400806,TRUE-0184,Individual,Y,2
Harbourside Bank,HB-10895,TRUE-0185,Individual,Y,2
Totara Mutual,00400811,TRUE-0185,Individual,Y,2
Harbourside Bank,HB-10904,TRUE-0186,Individual,Y,2
Totara Mutual,00400827,TRUE-0186,Individual,Y,2
Harbourside Bank,HB-10911,TRUE-0187,Individual,Y,2
Totara Mutual,00400846,TRUE-0187,Individual,Y,2
Harbourside Bank,HB-10913,TRUE-0188,Individual,Y,2
Totara Mutual,00400859,TRUE-0188,Individual,Y,2
Harbourside Bank,HB-10914,TRUE-0189,Individual,Y,2
Totara Mutual,00400875,TRUE-0189,Individual,Y,2
Harbourside Bank,HB-10923,TRUE-0190,Individual,Y,2
Totara Mutual,00400877,TRUE-0190,Individual,Y,2
Harbourside Bank,HB-10929,TRUE-0191,Individual,Y,3
Harbourside Bank,HB-11371,TRUE-0191,Individual,Y,3
Totara Mutual,00400891,TRUE-0191,Individual,Y,3
Harbourside Bank,HB-10935,TRUE-0192,Individual,Y,2
Totara Mutual,00400917,TRUE-0192,Individual,Y,2
Harbourside Bank,HB-10939,TRUE-0193,Individual,Y,2
Totara Mutual,00400942,TRUE-0193,Individual,Y,2
Harbourside Bank,HB-10942,TRUE-0194,Individual,Y,2
Totara Mutual,00400948,TRUE-0194,Individual,Y,2
Harbourside Bank,HB-10947,TRUE-0195,Individual,Y,2
Totara Mutual,00400967,TRUE-0195,Individual,Y,2
Harbourside Bank,HB-10956,TRUE-0196,Individual,Y,2
Totara Mutual,00400987,TRUE-0196,Individual,Y,2
Harbourside Bank,HB-10964,TRUE-0197,Individual,Y,2
Totara Mutual,00400998,TRUE-0197,Individual,Y,2
Harbourside Bank,HB-10973,TRUE-0198,Individual,Y,2
Totara Mutual,00401023,TRUE-0198,Individual,Y,2
Harbourside Bank,HB-10981,TRUE-0199,Individual,Y,2
Totara Mutual,00401029,TRUE-0199,Individual,Y,2
Harbourside Bank,HB-10982,TRUE-0200,Individual,Y,2
Totara Mutual,00401033,TRUE-0200,Individual,Y,2
Harbourside Bank,HB-10991,TRUE-0201,Individual,Y,2
Totara Mutual,00401043,TRUE-0201,Individual,Y,2
Harbourside Bank,HB-10996,TRUE-0202,Individual,Y,2
Totara Mutual,00401071,TRUE-0202,Individual,Y,2
Harbourside Bank,HB-10997,TRUE-0203,Individual,Y,2
Totara Mutual,00401087,TRUE-0203,Individual,Y,2
Harbourside Bank,HB-10998,TRUE-0204,Individual,Y,2
Totara Mutual,00401105,TRUE-0204,Individual,Y,2
Harbourside Bank,HB-11007,TRUE-0205,Individual,Y,2
Totara Mutual,00401135,TRUE-0205,Individual,Y,2
Harbourside Bank,HB-11013,TRUE-0206,Individual,Y,2
Totara Mutual,00401152,TRUE-0206,Individual,Y,2
Harbourside Bank,HB-11015,TRUE-0207,Individual,Y,2
Totara Mutual,00401180,TRUE-0207,Individual,Y,2
Harbourside Bank,HB-11022,TRUE-0208,Individual,Y,2
Totara Mutual,00401208,TRUE-0208,Individual,Y,2
Harbourside Bank,HB-11023,TRUE-0209,Individual,Y,2
Totara Mutual,00401237,TRUE-0209,Individual,Y,2
Harbourside Bank,HB-11026,TRUE-0210,Individual,Y,2
Totara Mutual,00401267,TRUE-0210,Individual,Y,2
Harbourside Bank,HB-11030,TRUE-0211,Individual,Y,2
Totara Mutual,00401278,TRUE-0211,Individual,Y,2
Harbourside Bank,HB-11034,TRUE-0212,Individual,Y,2
Totara Mutual,00401281,TRUE-0212,Individual,Y,2
Harbourside Bank,HB-11037,TRUE-0213,Individual,Y,2
Totara Mutual,00401298,TRUE-0213,Individual,Y,2
Harbourside Bank,HB-11046,TRUE-0214,Individual,Y,2
Totara Mutual,00401307,TRUE-0214,Individual,Y,2
Harbourside Bank,HB-11047,TRUE-0215,Individual,Y,2
Totara Mutual,00401331,TRUE-0215,Individual,Y,2
Harbourside Bank,HB-11053,TRUE-0216,Individual,Y,2
Totara Mutual,00401350,TRUE-0216,Individual,Y,2
Harbourside Bank,HB-11060,TRUE-0217,Individual,Y,2
Totara Mutual,00401352,TRUE-0217,Individual,Y,2
Harbourside Bank,HB-11062,TRUE-0218,Individual,Y,2
Totara Mutual,00401378,TRUE-0218,Individual,Y,2
Harbourside Bank,HB-11069,TRUE-0219,Individual,Y,2
Totara Mutual,00401387,TRUE-0219,Individual,Y,2
Harbourside Bank,HB-11071,TRUE-0220,Individual,Y,2
Totara Mutual,00401398,TRUE-0220,Individual,Y,2
Harbourside Bank,HB-11080,TRUE-0221,Individual,Y,2
Totara Mutual,00401423,TRUE-0221,Individual,Y,2
Harbourside Bank,HB-11085,TRUE-0222,Individual,Y,2
Totara Mutual,00401450,TRUE-0222,Individual,Y,2
Harbourside Bank,HB-11091,TRUE-0223,Individual,Y,2
Totara Mutual,00401453,TRUE-0223,Individual,Y,2
Harbourside Bank,HB-11093,TRUE-0224,Individual,Y,2
Totara Mutual,00401464,TRUE-0224,Individual,Y,2
Harbourside Bank,HB-11094,TRUE-0225,Individual,Y,2
Totara Mutual,00401486,TRUE-0225,Individual,Y,2
Harbourside Bank,HB-11098,TRUE-0226,Individual,Y,2
Totara Mutual,00401503,TRUE-0226,Individual,Y,2
Harbourside Bank,HB-11103,TRUE-0227,Individual,Y,2
Totara Mutual,00401505,TRUE-0227,Individual,Y,2
Harbourside Bank,HB-11111,TRUE-0228,Individual,Y,2
Totara Mutual,00401518,TRUE-0228,Individual,Y,2
Harbourside Bank,HB-11119,TRUE-0229,Individual,Y,2
Totara Mutual,00401538,TRUE-0229,Individual,Y,2
Harbourside Bank,HB-11121,TRUE-0230,Individual,Y,2
Totara Mutual,00401542,TRUE-0230,Individual,Y,2
Totara Mutual,00401557,TRUE-0231,Individual,N,1
Totara Mutual,00401571,TRUE-0232,Individual,N,1
Totara Mutual,00401589,TRUE-0233,Individual,N,1
Totara Mutual,00401592,TRUE-0234,Individual,N,2
Totara Mutual,00404631,TRUE-0234,Individual,N,2
Totara Mutual,00401600,TRUE-0235,Individual,N,1
Totara Mutual,00401624,TRUE-0236,Individual,N,1
Totara Mutual,00401647,TRUE-0237,Individual,N,1
Totara Mutual,00401654,TRUE-0238,Individual,N,1
Totara Mutual,00401678,TRUE-0239,Individual,N,1
Totara Mutual,00401697,TRUE-0240,Individual,N,1
Totara Mutual,00401725,TRUE-0241,Individual,N,1
Totara Mutual,00401748,TRUE-0242,Individual,N,1
Totara Mutual,00401777,TRUE-0243,Individual,N,1
Totara Mutual,00401788,TRUE-0244,Individual,N,1
Totara Mutual,00401806,TRUE-0245,Individual,N,1
Totara Mutual,00401812,TRUE-0246,Individual,N,1
Totara Mutual,00401830,TRUE-0247,Individual,N,1
Totara Mutual,00401840,TRUE-0248,Individual,N,1
Totara Mutual,00401845,TRUE-0249,Individual,N,1
Totara Mutual,00401867,TRUE-0250,Individual,N,1
Totara Mutual,00401872,TRUE-0251,Individual,N,1
Totara Mutual,00401882,TRUE-0252,Individual,N,1
Totara Mutual,00401890,TRUE-0253,Individual,N,1
Totara Mutual,00401912,TRUE-0254,Individual,N,1
Totara Mutual,00401922,TRUE-0255,Individual,N,1
Totara Mutual,00401947,TRUE-0256,Individual,N,1
Totara Mutual,00401953,TRUE-0257,Individual,N,1
Totara Mutual,00401975,TRUE-0258,Individual,N,1
Totara Mutual,00401995,TRUE-0259,Individual,N,1
Totara Mutual,00401998,TRUE-0260,Individual,N,1
Totara Mutual,00402004,TRUE-0261,Individual,N,1
Totara Mutual,00402005,TRUE-0262,Individual,N,1
Totara Mutual,00402030,TRUE-0263,Individual,N,1
Totara Mutual,00402040,TRUE-0264,Individual,N,1
Totara Mutual,00402060,TRUE-0265,Individual,N,1
Totara Mutual,00402081,TRUE-0266,Individual,N,1
Totara Mutual,00402108,TRUE-0267,Individual,N,1
Totara Mutual,00402125,TRUE-0268,Individual,N,1
Totara Mutual,00402144,TRUE-0269,Individual,N,1
Totara Mutual,00402164,TRUE-0270,Individual,N,1
Totara Mutual,00402190,TRUE-0271,Individual,N,1
Totara Mutual,00402193,TRUE-0272,Individual,N,1
Totara Mutual,00402203,TRUE-0273,Individual,N,1
Totara Mutual,00402208,TRUE-0274,Individual,N,1
Totara Mutual,00402237,TRUE-0275,Individual,N,1
Totara Mutual,00402239,TRUE-0276,Individual,N,1
Totara Mutual,00402246,TRUE-0277,Individual,N,1
Totara Mutual,00402267,TRUE-0278,Individual,N,1
Totara Mutual,00402294,TRUE-0279,Individual,N,1
Totara Mutual,00402306,TRUE-0280,Individual,N,1
Totara Mutual,00402322,TRUE-0281,Individual,N,1
Totara Mutual,00402347,TRUE-0282,Individual,N,1
Totara Mutual,00402362,TRUE-0283,Individual,N,1
Totara Mutual,00402369,TRUE-0284,Individual,N,1
Totara Mutual,00402372,TRUE-0285,Individual,N,1
Totara Mutual,00402384,TRUE-0286,Individual,N,1
Totara Mutual,00402399,TRUE-0287,Individual,N,1
Totara Mutual,00402420,TRUE-0288,Individual,N,1
Totara Mutual,00402434,TRUE-0289,Individual,N,1
Totara Mutual,00402453,TRUE-0290,Individual,N,2
Totara Mutual,00404564,TRUE-0290,Individual,N,2
Totara Mutual,00402472,TRUE-0291,Individual,N,1
Totara Mutual,00402486,TRUE-0292,Individual,N,1
Totara Mutual,00402502,TRUE-0293,Individual,N,1
Totara Mutual,00402532,TRUE-0294,Individual,N,1
Totara Mutual,00402557,TRUE-0295,Individual,N,1
Totara Mutual,00402560,TRUE-0296,Individual,N,1
Totara Mutual,00402569,TRUE-0297,Individual,N,1
Totara Mutual,00402572,TRUE-0298,Individual,N,1
Totara Mutual,00402592,TRUE-0299,Individual,N,1
Totara Mutual,00402598,TRUE-0300,Individual,N,1
Totara Mutual,00402614,TRUE-0301,Individual,N,2
Totara Mutual,00404605,TRUE-0301,Individual,N,2
Totara Mutual,00402640,TRUE-0302,Individual,N,1
Totara Mutual,00402659,TRUE-0303,Individual,N,1
Totara Mutual,00402680,TRUE-0304,Individual,N,1
Totara Mutual,00402696,TRUE-0305,Individual,N,1
Totara Mutual,00402704,TRUE-0306,Individual,N,1
Totara Mutual,00402715,TRUE-0307,Individual,N,1
Totara Mutual,00402739,TRUE-0308,Individual,N,1
Totara Mutual,00402764,TRUE-0309,Individual,N,1
Totara Mutual,00402770,TRUE-0310,Individual,N,1
Totara Mutual,00402777,TRUE-0311,Individual,N,1
Totara Mutual,00402806,TRUE-0312,Individual,N,1
Totara Mutual,00402815,TRUE-0313,Individual,N,1
Totara Mutual,00402821,TRUE-0314,Individual,N,1
Totara Mutual,00402830,TRUE-0315,Individual,N,2
Totara Mutual,00404550,TRUE-0315,Individual,N,2
Totara Mutual,00402858,TRUE-0316,Individual,N,1
Totara Mutual,00402861,TRUE-0317,Individual,N,1
Totara Mutual,00402878,TRUE-0318,Individual,N,1
Totara Mutual,00402893,TRUE-0319,Individual,N,1
Totara Mutual,00402894,TRUE-0320,Individual,N,1
Totara Mutual,00402916,TRUE-0321,Individual,N,1
Totara Mutual,00402924,TRUE-0322,Individual,N,1
Totara Mutual,00402944,TRUE-0323,Individual,N,1
Totara Mutual,00402956,TRUE-0324,Individual,N,1
Totara Mutual,00402970,TRUE-0325,Individual,N,1
Totara Mutual,00402979,TRUE-0326,Individual,N,1
Totara Mutual,00403002,TRUE-0327,Individual,N,1
Totara Mutual,00403006,TRUE-0328,Individual,N,1
Totara Mutual,00403035,TRUE-0329,Individual,N,1
Totara Mutual,00403046,TRUE-0330,Individual,N,1
Totara Mutual,00403073,TRUE-0331,Individual,N,1
Totara Mutual,00403099,TRUE-0332,Individual,N,1
Totara Mutual,00403121,TRUE-0333,Individual,N,1
Totara Mutual,00403148,TRUE-0334,Individual,N,1
Totara Mutual,00403161,TRUE-0335,Individual,N,1
Totara Mutual,00403169,TRUE-0336,Individual,N,1
Totara Mutual,00403198,TRUE-0337,Individual,N,1
Totara Mutual,00403204,TRUE-0338,Individual,N,1
Totara Mutual,00403219,TRUE-0339,Individual,N,1
Totara Mutual,00403233,TRUE-0340,Individual,N,1
Totara Mutual,00403239,TRUE-0341,Individual,N,2
Totara Mutual,00404533,TRUE-0341,Individual,N,2
Totara Mutual,00403260,TRUE-0342,Individual,N,1
Totara Mutual,00403281,TRUE-0343,Individual,N,1
Totara Mutual,00403289,TRUE-0344,Individual,N,1
Totara Mutual,00403319,TRUE-0345,Individual,N,1
Totara Mutual,00403347,TRUE-0346,Individual,N,1
Totara Mutual,00403361,TRUE-0347,Individual,N,1
Totara Mutual,00403378,TRUE-0348,Individual,N,1
Totara Mutual,00403379,TRUE-0349,Individual,N,1
Totara Mutual,00403391,TRUE-0350,Individual,N,1
Totara Mutual,00403421,TRUE-0351,Individual,N,1
Totara Mutual,00403428,TRUE-0352,Individual,N,1
Totara Mutual,00403447,TRUE-0353,Individual,N,2
