record_id,bank,customer_id,entity_type,cluster_id
H:HB-10198,H,HB-10198,PERSON,H:HB-10198
H:HB-10203,H,HB-10203,PERSON,H:HB-10203
H:HB-10207,H,HB-10207,PERSON,H:HB-10207
H:HB-10208,H,HB-10208,PERSON,H:HB-10208
H:HB-10213,H,HB-10213,PERSON,H:HB-10213
H:HB-10221,H,HB-10221,PERSON,H:HB-10221
H:HB-10227,H,HB-10227,PERSON,H:HB-10227
H:HB-10230,H,HB-10230,PERSON,H:HB-10230
H:HB-10231,H,HB-10231,PERSON,H:HB-10231
H:HB-10233,H,HB-10233,PERSON,H:HB-10233
H:HB-10240,H,HB-10240,PERSON,H:HB-10240
H:HB-10241,H,HB-10241,PERSON,H:HB-10241
H:HB-10243,H,HB-10243,PERSON,H:HB-10243
H:HB-10246,H,HB-10246,PERSON,H:HB-10246
H:HB-10253,H,HB-10253,PERSON,H:HB-10253
H:HB-10256,H,HB-10256,PERSON,H:HB-10256
H:HB-10262,H,HB-10262,PERSON,H:HB-10262
H:HB-10270,H,HB-10270,PERSON,H:HB-10270
H:HB-10276,H,HB-10276,PERSON,H:HB-10276
H:HB-10278,H,HB-10278,PERSON,H:HB-10278
H:HB-10281,H,HB-10281,PERSON,H:HB-10281
H:HB-10288,H,HB-10288,PERSON,H:HB-10288
H:HB-10290,H,HB-10290,PERSON,H:HB-10290
H:HB-10294,H,HB-10294,PERSON,H:HB-10294
H:HB-10299,H,HB-10299,PERSON,H:HB-10299
H:HB-10308,H,HB-10308,PERSON,H:HB-10308
H:HB-10313,H,HB-10313,PERSON,H:HB-10313
H:HB-10322,H,HB-10322,PERSON,H:HB-10322
H:HB-10327,H,HB-10327,PERSON,H:HB-10327
H:HB-10328,H,HB-10328,PERSON,H:HB-10328
H:HB-10334,H,HB-10334,PERSON,H:HB-10334
H:HB-10339,H,HB-10339,PERSON,H:HB-10339
H:HB-10342,H,HB-10342,PERSON,H:HB-10342
H:HB-10348,H,HB-10348,PERSON,H:HB-10348
H:HB-10356,H,HB-10356,PERSON,H:HB-10356
H:HB-10360,H,HB-10360,PERSON,H:HB-10360
H:HB-10369,H,HB-10369,PERSON,H:HB-10369
H:HB-10372,H,HB-10372,PERSON,H:HB-10372
H:HB-10374,H,HB-10374,PERSON,H:HB-10374
H:HB-10377,H,HB-10377,PERSON,H:HB-10377
H:HB-10379,H,HB-10379,PERSON,H:HB-10379
H:HB-10388,H,HB-10388,PERSON,H:HB-10388
H:HB-10389,H,HB-10389,PERSON,H:HB-10389
H:HB-10394,H,HB-10394,PERSON,H:HB-10394
H:HB-10402,H,HB-10402,PERSON,H:HB-10402
H:HB-10408,H,HB-10408,PERSON,H:HB-10408
H:HB-10415,H,HB-10415,PERSON,H:HB-10415
H:HB-10416,H,HB-10416,PERSON,H:HB-10416
H:HB-10419,H,HB-10419,PERSON,H:HB-10419
H:HB-10421,H,HB-10421,PERSON,H:HB-10421
H:HB-10428,H,HB-10428,PERSON,H:HB-10428
H:HB-10437,H,HB-10437,PERSON,H:HB-10437
H:HB-10439,H,HB-10439,PERSON,H:HB-10439
H:HB-10440,H,HB-10440,PERSON,H:HB-10440
H:HB-10449,H,HB-10449,PERSON,H:HB-10449
H:HB-10457,H,HB-10457,PERSON,H:HB-10457
H:HB-10465,H,HB-10465,PERSON,H:HB-10465
H:HB-10474,H,HB-10474,PERSON,H:HB-10474
H:HB-10478,H,HB-10478,PERSON,H:HB-10478
H:HB-10485,H,HB-10485,PERSON,H:HB-10485
H:HB-10489,H,HB-10489,PERSON,H:HB-10489
H:HB-10495,H,HB-10495,PERSON,H:HB-10495
H:HB-10497,H,HB-10497,PERSON,H:HB-10497
H:HB-10498,H,HB-10498,PERSON,H:HB-10498
H:HB-10499,H,HB-10499,PERSON,H:HB-10499
H:HB-10501,H,HB-10501,PERSON,H:HB-10501
H:HB-10507,H,HB-10507,PERSON,H:HB-10507
H:HB-10510,H,HB-10510,PERSON,H:HB-10510
H:HB-10513,H,HB-10513,PERSON,H:HB-10513
H:HB-10522,H,HB-10522,PERSON,H:HB-10522
H:HB-10531,H,HB-10531,PERSON,H:HB-10531
H:HB-10539,H,HB-10539,PERSON,H:HB-10539
H:HB-10543,H,HB-10543,PERSON,H:HB-10543
H:HB-10550,H,HB-10550,PERSON,H:HB-10550
H:HB-10555,H,HB-10555,PERSON,H:HB-10555
H:HB-10563,H,HB-10563,PERSON,H:HB-10563
H:HB-10566,H,HB-10566,PERSON,H:HB-10566
H:HB-10569,H,HB-10569,PERSON,H:HB-10569
H:HB-11354,H,HB-11354,PERSON,H:HB-10569
H:HB-10575,H,HB-10575,PERSON,H:HB-10575
H:HB-10584,H,HB-10584,PERSON,H:HB-10584
H:HB-10585,H,HB-10585,PERSON,H:HB-10585
H:HB-10589,H,HB-10589,PERSON,H:HB-10589
H:HB-10598,H,HB-10598,PERSON,H:HB-10598
H:HB-10606,H,HB-10606,PERSON,H:HB-10606
H:HB-10610,H,HB-10610,PERSON,H:HB-10610
H:HB-10612,H,HB-10612,PERSON,H:HB-10612
H:HB-10619,H,HB-10619,PERSON,H:HB-10619
H:HB-10623,H,HB-10623,PERSON,H:HB-10623
H:HB-10626,H,HB-10626,PERSON,H:HB-10626
H:HB-10628,H,HB-10628,PERSON,H:HB-10628
H:HB-10632,H,HB-10632,PERSON,H:HB-10632
H:HB-10633,H,HB-10633,PERSON,H:HB-10633
H:HB-10636,H,HB-10636,PERSON,H:HB-10636
T:00400002,T,00400002,PERSON,H:HB-10636
H:HB-10637,H,HB-10637,PERSON,H:HB-10637
H:HB-11370,H,HB-11370,PERSON,H:HB-10637
T:00400031,T,00400031,PERSON,H:HB-10637
H:HB-10640,H,HB-10640,PERSON,H:HB-10640
T:00400040,T,00400040,PERSON,H:HB-10640
H:HB-10645,H,HB-10645,PERSON,H:HB-10645
T:00400061,T,00400061,PERSON,H:HB-10645
H:HB-10651,H,HB-10651,PERSON,H:HB-10651
T:00400081,T,00400081,PERSON,H:HB-10651
H:HB-10657,H,HB-10657,PERSON,H:HB-10657
T:00400110,T,00400110,PERSON,H:HB-10657
H:HB-10662,H,HB-10662,PERSON,H:HB-10662
T:00400120,T,00400120,PERSON,H:HB-10662
H:HB-10671,H,HB-10671,PERSON,H:HB-10671
T:00400138,T,00400138,PERSON,H:HB-10671
H:HB-10674,H,HB-10674,PERSON,H:HB-10674
T:00400155,T,00400155,PERSON,H:HB-10674
H:HB-10678,H,HB-10678,PERSON,H:HB-10678
T:00400160,T,00400160,PERSON,H:HB-10678
H:HB-10680,H,HB-10680,PERSON,H:HB-10680
T:00400176,T,00400176,PERSON,H:HB-10680
H:HB-10683,H,HB-10683,PERSON,H:HB-10683
T:00400187,T,00400187,PERSON,H:HB-10683
H:HB-10691,H,HB-10691,PERSON,H:HB-10691
T:00400212,T,00400212,PERSON,H:HB-10691
H:HB-10696,H,HB-10696,PERSON,H:HB-10696
T:00400231,T,00400231,PERSON,H:HB-10696
H:HB-10703,H,HB-10703,PERSON,H:HB-10703
T:00400252,T,00400252,PERSON,H:HB-10703
H:HB-10710,H,HB-10710,PERSON,H:HB-10710
T:00400272,T,00400272,PERSON,H:HB-10710
H:HB-10715,H,HB-10715,PERSON,H:HB-10715
T:00400280,T,00400280,PERSON,H:HB-10715
H:HB-10719,H,HB-10719,PERSON,H:HB-10719
T:00400288,T,00400288,PERSON,H:HB-10719
H:HB-10724,H,HB-10724,PERSON,H:HB-10724
T:00400311,T,00400311,PERSON,H:HB-10724
H:HB-10727,H,HB-10727,PERSON,H:HB-10727
T:00400336,T,00400336,PERSON,H:HB-10727
H:HB-10728,H,HB-10728,PERSON,H:HB-10728
T:00400348,T,00400348,PERSON,H:HB-10728
H:HB-10734,H,HB-10734,PERSON,H:HB-10734
T:00400358,T,00400358,PERSON,H:HB-10734
H:HB-10735,H,HB-10735,PERSON,H:HB-10735
T:00400368,T,00400368,PERSON,H:HB-10735
H:HB-10740,H,HB-10740,PERSON,H:HB-10740
T:00400384,T,00400384,PERSON,H:HB-10740
H:HB-10746,H,HB-10746,PERSON,H:HB-10746
T:00400409,T,00400409,PERSON,H:HB-10746
H:HB-10755,H,HB-10755,PERSON,H:HB-10755
H:HB-11363,H,HB-11363,PERSON,H:HB-10755
T:00400416,T,00400416,PERSON,H:HB-10755
H:HB-10760,H,HB-10760,PERSON,H:HB-10760
T:00400446,T,00400446,PERSON,H:HB-10760
H:HB-10766,H,HB-10766,PERSON,H:HB-10766
T:00400462,T,00400462,PERSON,H:HB-10766
H:HB-10769,H,HB-10769,PERSON,H:HB-10769
T:00400470,T,00400470,PERSON,H:HB-10769
H:HB-10774,H,HB-10774,PERSON,H:HB-10774
T:00400489,T,00400489,PERSON,H:HB-10774
H:HB-10775,H,HB-10775,PERSON,H:HB-10775
T:00400505,T,00400505,PERSON,H:HB-10775
H:HB-10780,H,HB-10780,PERSON,H:HB-10780
T:00400518,T,00400518,PERSON,H:HB-10780
H:HB-10786,H,HB-10786,PERSON,H:HB-10786
T:00400523,T,00400523,PERSON,H:HB-10786
H:HB-10790,H,HB-10790,PERSON,H:HB-10790
T:00400545,T,00400545,PERSON,H:HB-10790
H:HB-10796,H,HB-10796,PERSON,H:HB-10796
T:00400558,T,00400558,PERSON,H:HB-10796
H:HB-10800,H,HB-10800,PERSON,H:HB-10800
T:00400561,T,00400561,PERSON,H:HB-10800
H:HB-10804,H,HB-10804,PERSON,H:HB-10804
T:00400587,T,00400587,PERSON,H:HB-10804
H:HB-10808,H,HB-10808,PERSON,H:HB-10808
T:00400590,T,00400590,PERSON,H:HB-10808
H:HB-10813,H,HB-10813,PERSON,H:HB-10813
T:00400609,T,00400609,PERSON,H:HB-10813
H:HB-10814,H,HB-10814,PERSON,H:HB-10814
T:00400631,T,00400631,PERSON,H:HB-10814
H:HB-10823,H,HB-10823,PERSON,H:HB-10823
T:00400642,T,00400642,PERSON,H:HB-10823
H:HB-10829,H,HB-10829,PERSON,H:HB-10829
T:00400645,T,00400645,PERSON,H:HB-10829
H:HB-10833,H,HB-10833,PERSON,H:HB-10833
T:00400664,T,00400664,PERSON,H:HB-10833
H:HB-10841,H,HB-10841,PERSON,H:HB-10841
T:00400665,T,00400665,PERSON,H:HB-10841
H:HB-10843,H,HB-10843,PERSON,H:HB-10843
T:00400673,T,00400673,PERSON,H:HB-10843
H:HB-10845,H,HB-10845,PERSON,H:HB-10845
T:00400697,T,00400697,PERSON,H:HB-10845
H:HB-10854,H,HB-10854,PERSON,H:HB-10854
T:00400713,T,00400713,PERSON,H:HB-10854
H:HB-10856,H,HB-10856,PERSON,H:HB-10856
T:00400735,T,00400735,PERSON,H:HB-10856
H:HB-10862,H,HB-10862,PERSON,H:HB-10862
T:00400755,T,00400755,PERSON,H:HB-10862
H:HB-10865,H,HB-10865,PERSON,H:HB-10865
T:00400767,T,00400767,PERSON,H:HB-10865
H:HB-10871,H,HB-10871,PERSON,H:HB-10871
T:00400788,T,00400788,PERSON,H:HB-10871
H:HB-10876,H,HB-10876,PERSON,H:HB-10876
T:00400789,T,00400789,PERSON,H:HB-10876
H:HB-10879,H,HB-10879,PERSON,H:HB-10879
T:00400803,T,00400803,PERSON,H:HB-10879
H:HB-10888,H,HB-10888,PERSON,H:HB-10888
T:00400806,T,00400806,PERSON,H:HB-10888
H:HB-10895,H,HB-10895,PERSON,H:HB-10895
T:00400811,T,00400811,PERSON,H:HB-10895
H:HB-10904,H,HB-10904,PERSON,H:HB-10904
T:00400827,T,00400827,PERSON,H:HB-10904
H:HB-10911,H,HB-10911,PERSON,H:HB-10911
T:00400846,T,00400846,PERSON,H:HB-10911
H:HB-10913,H,HB-10913,PERSON,H:HB-10913
T:00400859,T,00400859,PERSON,H:HB-10913
H:HB-10914,H,HB-10914,PERSON,H:HB-10914
T:00400875,T,00400875,PERSON,H:HB-10914
H:HB-10923,H,HB-10923,PERSON,H:HB-10923
T:00400877,T,00400877,PERSON,H:HB-10923
H:HB-10929,H,HB-10929,PERSON,H:HB-10929
H:HB-11371,H,HB-11371,PERSON,H:HB-10929
T:00400891,T,00400891,PERSON,H:HB-10929
H:HB-10935,H,HB-10935,PERSON,H:HB-10935
T:00400917,T,00400917,PERSON,H:HB-10935
H:HB-10939,H,HB-10939,PERSON,H:HB-10939
T:00400942,T,00400942,PERSON,H:HB-10939
H:HB-10942,H,HB-10942,PERSON,H:HB-10942
T:00400948,T,00400948,PERSON,H:HB-10942
H:HB-10947,H,HB-10947,PERSON,H:HB-10947
T:00400967,T,00400967,PERSON,H:HB-10947
H:HB-10956,H,HB-10956,PERSON,H:HB-10956
T:00400987,T,00400987,PERSON,H:HB-10956
H:HB-10964,H,HB-10964,PERSON,H:HB-10964
T:00400998,T,00400998,PERSON,H:HB-10964
H:HB-10973,H,HB-10973,PERSON,H:HB-10973
T:00401023,T,00401023,PERSON,H:HB-10973
H:HB-10981,H,HB-10981,PERSON,H:HB-10981
T:00401029,T,00401029,PERSON,H:HB-10981
H:HB-10982,H,HB-10982,PERSON,H:HB-10982
T:00401033,T,00401033,PERSON,H:HB-10982
H:HB-10991,H,HB-10991,PERSON,H:HB-10991
T:00401043,T,00401043,PERSON,H:HB-10991
H:HB-10996,H,HB-10996,PERSON,H:HB-10996
T:00401071,T,00401071,PERSON,H:HB-10996
H:HB-10997,H,HB-10997,PERSON,H:HB-10997
T:00401087,T,00401087,PERSON,H:HB-10997
H:HB-10998,H,HB-10998,PERSON,H:HB-10998
T:00401105,T,00401105,PERSON,H:HB-10998
H:HB-11007,H,HB-11007,PERSON,H:HB-11007
T:00401135,T,00401135,PERSON,H:HB-11007
H:HB-11013,H,HB-11013,PERSON,H:HB-11013
T:00401152,T,00401152,PERSON,H:HB-11013
H:HB-11015,H,HB-11015,PERSON,H:HB-11015
T:00401180,T,00401180,PERSON,H:HB-11015
H:HB-11022,H,HB-11022,PERSON,H:HB-11022
T:00401208,T,00401208,PERSON,H:HB-11022
H:HB-11023,H,HB-11023,PERSON,H:HB-11023
T:00401237,T,00401237,PERSON,H:HB-11023
H:HB-11026,H,HB-11026,PERSON,H:HB-11026
T:00401267,T,00401267,PERSON,H:HB-11026
H:HB-11030,H,HB-11030,PERSON,H:HB-11030
T:00401278,T,00401278,PERSON,H:HB-11030
H:HB-11034,H,HB-11034,PERSON,H:HB-11034
T:00401281,T,00401281,PERSON,H:HB-11034
H:HB-11037,H,HB-11037,PERSON,H:HB-11037
T:00401298,T,00401298,PERSON,H:HB-11037
H:HB-11046,H,HB-11046,PERSON,H:HB-11046
T:00401307,T,00401307,PERSON,H:HB-11046
H:HB-11047,H,HB-11047,PERSON,H:HB-11047
T:00401331,T,00401331,PERSON,H:HB-11047
H:HB-11053,H,HB-11053,PERSON,H:HB-11053
T:00401350,T,00401350,PERSON,H:HB-11053
H:HB-11060,H,HB-11060,PERSON,H:HB-11060
T:00401352,T,00401352,PERSON,H:HB-11060
H:HB-11062,H,HB-11062,PERSON,H:HB-11062
T:00401378,T,00401378,PERSON,H:HB-11062
H:HB-11069,H,HB-11069,PERSON,H:HB-11069
T:00401387,T,00401387,PERSON,H:HB-11069
H:HB-11071,H,HB-11071,PERSON,H:HB-11071
T:00401398,T,00401398,PERSON,H:HB-11071
H:HB-11080,H,HB-11080,PERSON,H:HB-11080
T:00401423,T,00401423,PERSON,H:HB-11080
H:HB-11085,H,HB-11085,PERSON,H:HB-11085
T:00401450,T,00401450,PERSON,H:HB-11085
H:HB-11091,H,HB-11091,PERSON,H:HB-11091
T:00401453,T,00401453,PERSON,H:HB-11091
H:HB-11093,H,HB-11093,PERSON,H:HB-11093
T:00401464,T,00401464,PERSON,H:HB-11093
H:HB-11094,H,HB-11094,PERSON,H:HB-11094
T:00401486,T,00401486,PERSON,H:HB-11094
H:HB-11098,H,HB-11098,PERSON,H:HB-11098
T:00401503,T,00401503,PERSON,H:HB-11098
H:HB-11103,H,HB-11103,PERSON,H:HB-11103
T:00401505,T,00401505,PERSON,H:HB-11103
H:HB-11111,H,HB-11111,PERSON,H:HB-11111
T:00401518,T,00401518,PERSON,H:HB-11111
H:HB-11119,H,HB-11119,PERSON,H:HB-11119
T:00401538,T,00401538,PERSON,H:HB-11119
H:HB-11121,H,HB-11121,PERSON,H:HB-11121
T:00401542,T,00401542,PERSON,H:HB-11121
H:HB-11130,H,HB-11130,PERSON,H:HB-11130
H:HB-11131,H,HB-11131,PERSON,H:HB-11131
H:HB-11134,H,HB-11134,PERSON,H:HB-11134
H:HB-11137,H,HB-11137,PERSON,H:HB-11137
H:HB-11145,H,HB-11145,PERSON,H:HB-11145
H:HB-11150,H,HB-11150,PERSON,H:HB-11150
H:HB-11151,H,HB-11151,BUSINESS,H:HB-11151
H:HB-11160,H,HB-11160,BUSINESS,H:HB-11160
H:HB-11163,H,HB-11163,BUSINESS,H:HB-11163
H:HB-11170,H,HB-11170,BUSINESS,H:HB-11170
H:HB-11172,H,HB-11172,BUSINESS,H:HB-11172
H:HB-11179,H,HB-11179,BUSINESS,H:HB-11179
H:HB-11184,H,HB-11184,BUSINESS,H:HB-11184
H:HB-11190,H,HB-11190,BUSINESS,H:HB-11190
H:HB-11195,H,HB-11195,BUSINESS,H:HB-11195
H:HB-11197,H,HB-11197,BUSINESS,H:HB-11197
H:HB-11199,H,HB-11199,BUSINESS,H:HB-11199
H:HB-11207,H,HB-11207,BUSINESS,H:HB-11207
H:HB-11216,H,HB-11216,BUSINESS,H:HB-11216
H:HB-11225,H,HB-11225,BUSINESS,H:HB-11225
H:HB-11226,H,HB-11226,BUSINESS,H:HB-11226
H:HB-11232,H,HB-11232,BUSINESS,H:HB-11232
H:HB-11233,H,HB-11233,BUSINESS,H:HB-11233
H:HB-11241,H,HB-11241,BUSINESS,H:HB-11241
H:HB-11243,H,HB-11243,BUSINESS,H:HB-11243
H:HB-11250,H,HB-11250,BUSINESS,H:HB-11250
H:HB-11259,H,HB-11259,BUSINESS,H:HB-11259
H:HB-11261,H,HB-11261,BUSINESS,H:HB-11261
H:HB-11268,H,HB-11268,BUSINESS,H:HB-11268
T:00403993,T,00403993,BUSINESS,H:HB-11268
H:HB-11275,H,HB-11275,BUSINESS,H:HB-11275
T:00403999,T,00403999,BUSINESS,H:HB-11275
H:HB-11283,H,HB-11283,BUSINESS,H:HB-11283
T:00404014,T,00404014,BUSINESS,H:HB-11283
H:HB-11284,H,HB-11284,BUSINESS,H:HB-11284
T:00404040,T,00404040,BUSINESS,H:HB-11284
H:HB-11289,H,HB-11289,BUSINESS,H:HB-11289
T:00404055,T,00404055,BUSINESS,H:HB-11289
H:HB-11297,H,HB-11297,BUSINESS,H:HB-11297
T:00404063,T,00404063,BUSINESS,H:HB-11297
H:HB-11306,H,HB-11306,BUSINESS,H:HB-11306
T:00404083,T,00404083,BUSINESS,H:HB-11306
H:HB-11311,H,HB-11311,BUSINESS,H:HB-11311
T:00404111,T,00404111,BUSINESS,H:HB-11311
H:HB-11312,H,HB-11312,BUSINESS,H:HB-11312
T:00404116,T,00404116,BUSINESS,H:HB-11312
H:HB-11314,H,HB-11314,BUSINESS,H:HB-11314
T:00404122,T,00404122,BUSINESS,H:HB-11314
H:HB-11315,H,HB-11315,BUSINESS,H:HB-11315
T:00404139,T,00404139,BUSINESS,H:HB-11315
H:HB-11322,H,HB-11322,BUSINESS,H:HB-11322
T:00404168,T,00404168,BUSINESS,H:HB-11322
H:HB-11326,H,HB-11326,BUSINESS,H:HB-11326
T:00404180,T,00404180,BUSINESS,H:HB-11326
H:HB-11334,H,HB-11334,BUSINESS,H:HB-11334
T:00404189,T,00404189,BUSINESS,H:HB-11334
H:HB-11335,H,HB-11335,BUSINESS,H:HB-11335
T:00404197,T,00404197,BUSINESS,H:HB-11335
H:HB-11339,H,HB-11339,BUSINESS,H:HB-11339
T:00404206,T,00404206,BUSINESS,H:HB-11339
H:HB-11341,H,HB-11341,BUSINESS,H:HB-11341
T:00404209,T,00404209,BUSINESS,H:HB-11341
H:HB-11343,H,HB-11343,BUSINESS,H:HB-11343
T:00404214,T,00404214,BUSINESS,H:HB-11343
T:00401557,T,00401557,PERSON,T:00401557
T:00401571,T,00401571,PERSON,T:00401571
T:00401589,T,00401589,PERSON,T:00401589
T:00401592,T,00401592,PERSON,T:00401592
T:00404631,T,00404631,PERSON,T:00401592
T:00401600,T,00401600,PERSON,T:00401600
T:00401624,T,00401624,PERSON,T:00401624
T:00401647,T,00401647,PERSON,T:00401647
T:00401654,T,00401654,PERSON,T:00401654
T:00401678,T,00401678,PERSON,T:00401678
T:00401697,T,00401697,PERSON,T:00401697
T:00401725,T,00401725,PERSON,T:00401725
T:00401748,T,00401748,PERSON,T:00401748
T:00401777,T,00401777,PERSON,T:00401777
T:00401788,T,00401788,PERSON,T:00401788
T:00401806,T,00401806,PERSON,T:00401806
T:00401812,T,00401812,PERSON,T:00401812
T:00401830,T,00401830,PERSON,T:00401830
T:00401840,T,00401840,PERSON,T:00401840
T:00401845,T,00401845,PERSON,T:00401845
T:00401867,T,00401867,PERSON,T:00401867
T:00401872,T,00401872,PERSON,T:00401872
T:00401882,T,00401882,PERSON,T:00401882
T:00401890,T,00401890,PERSON,T:00401890
T:00401912,T,00401912,PERSON,T:00401912
T:00401922,T,00401922,PERSON,T:00401922
T:00401947,T,00401947,PERSON,T:00401947
T:00401953,T,00401953,PERSON,T:00401953
T:00401975,T,00401975,PERSON,T:00401975
T:00401995,T,00401995,PERSON,T:00401995
T:00401998,T,00401998,PERSON,T:00401998
T:00402004,T,00402004,PERSON,T:00402004
T:00402005,T,00402005,PERSON,T:00402005
T:00402030,T,00402030,PERSON,T:00402030
T:00402040,T,00402040,PERSON,T:00402040
T:00402060,T,00402060,PERSON,T:00402060
T:00402081,T,00402081,PERSON,T:00402081
T:00402108,T,00402108,PERSON,T:00402108
T:00402125,T,00402125,PERSON,T:00402125
T:00402144,T,00402144,PERSON,T:00402144
T:00402164,T,00402164,PERSON,T:00402164
T:00402190,T,00402190,PERSON,T:00402190
T:00402193,T,00402193,PERSON,T:00402193
T:00402203,T,00402203,PERSON,T:00402203
T:00402208,T,00402208,PERSON,T:00402208
T:00402237,T,00402237,PERSON,T:00402237
T:00402239,T,00402239,PERSON,T:00402239
T:00402246,T,00402246,PERSON,T:00402246
T:00402267,T,00402267,PERSON,T:00402267
T:00402294,T,00402294,PERSON,T:00402294
T:00402306,T,00402306,PERSON,T:00402306
T:00402322,T,00402322,PERSON,T:00402322
T:00402347,T,00402347,PERSON,T:00402347
T:00402362,T,00402362,PERSON,T:00402362
T:00402369,T,00402369,PERSON,T:00402369
T:00402372,T,00402372,PERSON,T:00402372
T:00402384,T,00402384,PERSON,T:00402384
T:00402399,T,00402399,PERSON,T:00402399
T:00402420,T,00402420,PERSON,T:00402420
T:00402434,T,00402434,PERSON,T:00402434
T:00402453,T,00402453,PERSON,T:00402453
T:00404564,T,00404564,PERSON,T:00402453
T:00402472,T,00402472,PERSON,T:00402472
T:00402486,T,00402486,PERSON,T:00402486
T:00402502,T,00402502,PERSON,T:00402502
T:00402532,T,00402532,PERSON,T:00402532
T:00402557,T,00402557,PERSON,T:00402557
T:00402560,T,00402560,PERSON,T:00402560
T:00402569,T,00402569,PERSON,T:00402569
T:00402572,T,00402572,PERSON,T:00402572
T:00402592,T,00402592,PERSON,T:00402592
T:00402598,T,00402598,PERSON,T:00402598
T:00402614,T,00402614,PERSON,T:00402614
T:00404605,T,00404605,PERSON,T:00402614
T:00402640,T,00402640,PERSON,T:00402640
T:00402659,T,00402659,PERSON,T:00402659
T:00402680,T,00402680,PERSON,T:00402680
T:00402696,T,00402696,PERSON,T:00402696
T:00402704,T,00402704,PERSON,T:00402704
T:00402715,T,00402715,PERSON,T:00402715
T:00402739,T,00402739,PERSON,T:00402739
T:00402764,T,00402764,PERSON,T:00402764
T:00402770,T,00402770,PERSON,T:00402770
T:00402777,T,00402777,PERSON,T:00402777
T:00402806,T,00402806,PERSON,T:00402806
T:00402815,T,00402815,PERSON,T:00402815
T:00402821,T,00402821,PERSON,T:00402821
T:00402830,T,00402830,PERSON,T:00402830
T:00404550,T,00404550,PERSON,T:00402830
T:00402858,T,00402858,PERSON,T:00402858
T:00402861,T,00402861,PERSON,T:00402861
T:00402878,T,00402878,PERSON,T:00402878
T:00402893,T,00402893,PERSON,T:00402893
T:00402894,T,00402894,PERSON,T:00402894
T:00402916,T,00402916,PERSON,T:00402916
T:00402924,T,00402924,PERSON,T:00402924
T:00402944,T,00402944,PERSON,T:00402944
T:00402956,T,00402956,PERSON,T:00402956
T:00402970,T,00402970,PERSON,T:00402970
T:00402979,T,00402979,PERSON,T:00402979
T:00403002,T,00403002,PERSON,T:00403002
T:00403006,T,00403006,PERSON,T:00403006
T:00403035,T,00403035,PERSON,T:00403035
T:00403046,T,00403046,PERSON,T:00403046
T:00403073,T,00403073,PERSON,T:00403073
T:00403099,T,00403099,PERSON,T:00403099
T:00403121,T,00403121,PERSON,T:00403121
T:00403148,T,00403148,PERSON,T:00403148
T:00403161,T,00403161,PERSON,T:00403161
T:00403169,T,00403169,PERSON,T:00403169
T:00403198,T,00403198,PERSON,T:00403198
T:00403204,T,00403204,PERSON,T:00403204
T:00403219,T,00403219,PERSON,T:00403219
T:00403233,T,00403233,PERSON,T:00403233
T:00403239,T,00403239,PERSON,T:00403239
T:00404533,T,00404533,PERSON,T:00403239
T:00403260,T,00403260,PERSON,T:00403260
